:START_ID(Coach-ID),:END_ID(Country-ID),:TYPE
1533246,MEX,REPRESENTS
1535775,IRQ,REPRESENTS
1536055,IRI,REPRESENTS
1536059,IRI,REPRESENTS
1536060,IRI,REPRESENTS
1536328,MEX,REPRESENTS
1538313,ARG,REPRESENTS
1538315,ARG,REPRESENTS
1538317,ARG,REPRESENTS
1538745,ARG,REPRESENTS
1538748,ARG,REPRESENTS
1538751,ARG,REPRESENTS
1539598,IRI,REPRESENTS
1540258,MEX,REPRESENTS
1540259,MEX,REPRESENTS
1540260,MEX,REPRESENTS
1540522,ARG,REPRESENTS
1540638,ARG,REPRESENTS
1540639,ARG,REPRESENTS
1540840,ROU,REPRESENTS
1542341,MAR,REPRESENTS
1542904,MEX,REPRESENTS
1542908,MEX,REPRESENTS
1542913,MEX,REPRESENTS
1542973,MEX,REPRESENTS
1542976,MEX,REPRESENTS
1543567,IND,REPRESENTS
1543570,IND,REPRESENTS
1543575,IND,REPRESENTS
1543576,IND,REPRESENTS
1543577,IND,REPRESENTS
1544157,GBR,REPRESENTS
1544158,GBR,REPRESENTS
1544489,IRL,REPRESENTS
1545106,IND,REPRESENTS
1545139,IND,REPRESENTS
1545947,ITA,REPRESENTS
1545949,ITA,REPRESENTS
1545950,ITA,REPRESENTS
1545955,ITA,REPRESENTS
1546310,ALG,REPRESENTS
1546312,ALG,REPRESENTS
1546698,ESP,REPRESENTS
1546699,ESP,REPRESENTS
1546700,ESP,REPRESENTS
1546701,ESP,REPRESENTS
1546702,ESP,REPRESENTS
1548427,SUR,REPRESENTS
1548848,BUL,REPRESENTS
1548875,BUL,REPRESENTS
1548895,BUL,REPRESENTS
1548902,BUL,REPRESENTS
1548919,BUL,REPRESENTS
1549452,GAM,REPRESENTS
1550038,PUR,REPRESENTS
1550039,PUR,REPRESENTS
1550047,PUR,REPRESENTS
1550196,ROU,REPRESENTS
1550198,ROU,REPRESENTS
1550199,ROU,REPRESENTS
1550201,ROU,REPRESENTS
1550203,ROU,REPRESENTS
1550267,ROU,REPRESENTS
1552001,TPE,REPRESENTS
1555083,CYP,REPRESENTS
1555113,CYP,REPRESENTS
1555115,IRL,REPRESENTS
1555131,CYP,REPRESENTS
1555182,CYP,REPRESENTS
1556249,ROU,REPRESENTS
1556255,ROU,REPRESENTS
1557013,CHI,REPRESENTS
1559048,SWE,REPRESENTS
1559066,SWE,REPRESENTS
1559067,SWE,REPRESENTS
1560169,SEN,REPRESENTS
1561282,BRA,REPRESENTS
1561719,GER,REPRESENTS
1561732,GER,REPRESENTS
1561734,GER,REPRESENTS
1561740,GER,REPRESENTS
1561741,GER,REPRESENTS
1562260,AUT,REPRESENTS
1562563,SWE,REPRESENTS
1562564,SWE,REPRESENTS
1562566,SWE,REPRESENTS
1562778,BUL,REPRESENTS
1562790,BUL,REPRESENTS
1562963,GER,REPRESENTS
1562973,GER,REPRESENTS
1562974,GER,REPRESENTS
1563661,GAM,REPRESENTS
1563956,IRL,REPRESENTS
1563966,GER,REPRESENTS
1564287,IRQ,REPRESENTS
1564321,PUR,REPRESENTS
1564323,PUR,REPRESENTS
1564325,PUR,REPRESENTS
1564413,EGY,REPRESENTS
1564469,EGY,REPRESENTS
1564470,EGY,REPRESENTS
1564477,EGY,REPRESENTS
1564481,EGY,REPRESENTS
1565043,GAB,REPRESENTS
1565143,AUT,REPRESENTS
1565591,JOR,REPRESENTS
1565609,JOR,REPRESENTS
1565612,JOR,REPRESENTS
1565657,UKR,REPRESENTS
1565672,UKR,REPRESENTS
1565759,JOR,REPRESENTS
1566325,AUT,REPRESENTS
1566746,TUR,REPRESENTS
1566749,TUR,REPRESENTS
1567065,SUR,REPRESENTS
1568152,TUR,REPRESENTS
1568153,TUR,REPRESENTS
1568648,MNE,REPRESENTS
1569994,GBR,REPRESENTS
1569995,CRO,REPRESENTS
1569996,CRO,REPRESENTS
1572261,HUN,REPRESENTS
1572269,HUN,REPRESENTS
1572364,HUN,REPRESENTS
1572370,HUN,REPRESENTS
1572373,HUN,REPRESENTS
1572650,FRA,REPRESENTS
1572652,FRA,REPRESENTS
1572654,FRA,REPRESENTS
1573466,FRA,REPRESENTS
1573467,FRA,REPRESENTS
1573468,FRA,REPRESENTS
1573469,FRA,REPRESENTS
1573470,FRA,REPRESENTS
1573668,FRA,REPRESENTS
1573669,FRA,REPRESENTS
1573670,FRA,REPRESENTS
1573671,FRA,REPRESENTS
1573672,FRA,REPRESENTS
1574076,FRA,REPRESENTS
1574080,FRA,REPRESENTS
1574082,FRA,REPRESENTS
1830240,TPE,REPRESENTS
1835894,TPE,REPRESENTS
1878950,TUR,REPRESENTS
1878952,TUR,REPRESENTS
1878956,TUR,REPRESENTS
1879044,TUR,REPRESENTS
1879645,FRA,REPRESENTS
1879871,FRA,REPRESENTS
1879872,FRA,REPRESENTS
1879875,FRA,REPRESENTS
1880219,UZB,REPRESENTS
1880226,UZB,REPRESENTS
1880388,KEN,REPRESENTS
1880389,KEN,REPRESENTS
1880390,KEN,REPRESENTS
1880620,GER,REPRESENTS
1880626,GER,REPRESENTS
1880629,GER,REPRESENTS
1880639,GER,REPRESENTS
1880657,UZB,REPRESENTS
1880659,UZB,REPRESENTS
1887640,UZB,REPRESENTS
1887642,UZB,REPRESENTS
1887644,UZB,REPRESENTS
1887648,UZB,REPRESENTS
1888131,SRB,REPRESENTS
1888241,JPN,REPRESENTS
1888242,JPN,REPRESENTS
1888246,JPN,REPRESENTS
1888338,JPN,REPRESENTS
1888344,JPN,REPRESENTS
1888372,SRB,REPRESENTS
1888498,IRL,REPRESENTS
1891425,HUN,REPRESENTS
1891653,JPN,REPRESENTS
1891659,JPN,REPRESENTS
1891667,JPN,REPRESENTS
1891684,JPN,REPRESENTS
1891686,JPN,REPRESENTS
1891688,JPN,REPRESENTS
1892047,UZB,REPRESENTS
1892050,UZB,REPRESENTS
1893216,FRA,REPRESENTS
1893217,FRA,REPRESENTS
1893323,FRA,REPRESENTS
1893324,FRA,REPRESENTS
1893325,FRA,REPRESENTS
1894657,NOR,REPRESENTS
1894659,NOR,REPRESENTS
1894661,NOR,REPRESENTS
1894662,NOR,REPRESENTS
1894663,NOR,REPRESENTS
1894666,NOR,REPRESENTS
1894756,NOR,REPRESENTS
1895149,HUN,REPRESENTS
1895269,DEN,REPRESENTS
1895270,DEN,REPRESENTS
1895275,DEN,REPRESENTS
1895276,DEN,REPRESENTS
1895279,DEN,REPRESENTS
1895408,FRA,REPRESENTS
1895409,FRA,REPRESENTS
1895410,FRA,REPRESENTS
1895517,HUN,REPRESENTS
1895520,HUN,REPRESENTS
1896158,GBR,REPRESENTS
1896160,GBR,REPRESENTS
1896164,GBR,REPRESENTS
1896167,GBR,REPRESENTS
1896246,GER,REPRESENTS
1896251,GER,REPRESENTS
1896252,GER,REPRESENTS
1896253,GER,REPRESENTS
1896258,GER,REPRESENTS
1896262,GER,REPRESENTS
1896275,GER,REPRESENTS
1896279,GER,REPRESENTS
1896290,GER,REPRESENTS
1896562,JPN,REPRESENTS
1896698,RSA,REPRESENTS
1896700,RSA,REPRESENTS
1897091,CUB,REPRESENTS
1897234,ISR,REPRESENTS
1897292,ISR,REPRESENTS
1897395,EGY,REPRESENTS
1897398,EGY,REPRESENTS
1897518,UKR,REPRESENTS
1897547,UKR,REPRESENTS
1897548,UKR,REPRESENTS
1897550,UKR,REPRESENTS
1897590,UKR,REPRESENTS
1897591,UKR,REPRESENTS
1897592,UKR,REPRESENTS
1897594,UKR,REPRESENTS
1897752,NZL,REPRESENTS
1897775,FIJ,REPRESENTS
1897904,KOR,REPRESENTS
1898398,NOR,REPRESENTS
1898540,CHN,REPRESENTS
1898944,GER,REPRESENTS
1898950,GER,REPRESENTS
1898951,GER,REPRESENTS
1898953,GER,REPRESENTS
1898956,GER,REPRESENTS
1898959,GER,REPRESENTS
1898960,GER,REPRESENTS
1898962,GER,REPRESENTS
1899054,GBR,REPRESENTS
1899056,GBR,REPRESENTS
1899057,GBR,REPRESENTS
1899058,GBR,REPRESENTS
1899060,GBR,REPRESENTS
1899061,GBR,REPRESENTS
1899062,GBR,REPRESENTS
1899085,GER,REPRESENTS
1899175,DOM,REPRESENTS
1899285,GER,REPRESENTS
1899286,GER,REPRESENTS
1899289,GER,REPRESENTS
1899294,GER,REPRESENTS
1899296,GER,REPRESENTS
1899298,GER,REPRESENTS
1900728,FRA,REPRESENTS
1900729,FRA,REPRESENTS
1900730,FRA,REPRESENTS
1900731,FRA,REPRESENTS
1901253,CAN,REPRESENTS
1901258,CAN,REPRESENTS
1901261,CAN,REPRESENTS
1901805,CHN,REPRESENTS
1901806,CHN,REPRESENTS
1901810,CHN,REPRESENTS
1901818,CHN,REPRESENTS
1901832,JPN,REPRESENTS
1901835,JPN,REPRESENTS
1901836,JPN,REPRESENTS
1901839,JPN,REPRESENTS
1901846,JPN,REPRESENTS
1901849,JPN,REPRESENTS
1901850,JPN,REPRESENTS
1901851,JPN,REPRESENTS
1902695,THA,REPRESENTS
1902795,THA,REPRESENTS
1902914,POL,REPRESENTS
1902918,POL,REPRESENTS
1902919,POL,REPRESENTS
1903371,CRO,REPRESENTS
1903379,CRO,REPRESENTS
1903381,CRO,REPRESENTS
1903569,FRA,REPRESENTS
1903570,FRA,REPRESENTS
1903575,FRA,REPRESENTS
1903577,FRA,REPRESENTS
1903584,FRA,REPRESENTS
1903585,FRA,REPRESENTS
1903590,FRA,REPRESENTS
1903594,FRA,REPRESENTS
1903707,EGY,REPRESENTS
1903722,EGY,REPRESENTS
1903754,EGY,REPRESENTS
1903771,FRA,REPRESENTS
1903772,FRA,REPRESENTS
1903773,FRA,REPRESENTS
1903829,BEL,REPRESENTS
1903832,BEL,REPRESENTS
1903833,BEL,REPRESENTS
1903888,BEL,REPRESENTS
1903889,BEL,REPRESENTS
1903900,BEL,REPRESENTS
1904214,KOR,REPRESENTS
1904215,KOR,REPRESENTS
1904220,KOR,REPRESENTS
1904221,KOR,REPRESENTS
1904223,KOR,REPRESENTS
1904759,GBR,REPRESENTS
1904761,GBR,REPRESENTS
1904762,GBR,REPRESENTS
1904765,GBR,REPRESENTS
1904766,GBR,REPRESENTS
1904767,GBR,REPRESENTS
1904768,GBR,REPRESENTS
1904769,GBR,REPRESENTS
1904771,GBR,REPRESENTS
1904772,GBR,REPRESENTS
1904775,GBR,REPRESENTS
1904996,CZE,REPRESENTS
1904998,CZE,REPRESENTS
1904999,CZE,REPRESENTS
1906041,FRA,REPRESENTS
1906042,FRA,REPRESENTS
1906448,FRA,REPRESENTS
1906454,FRA,REPRESENTS
1906462,FRA,REPRESENTS
1906468,FRA,REPRESENTS
1908234,ARG,REPRESENTS
1908241,ARG,REPRESENTS
1908245,ARG,REPRESENTS
1908299,ARG,REPRESENTS
1908401,USA,REPRESENTS
1908402,USA,REPRESENTS
1908403,USA,REPRESENTS
1908408,USA,REPRESENTS
1908409,USA,REPRESENTS
1908410,USA,REPRESENTS
1908549,NIG,REPRESENTS
1908649,DOM,REPRESENTS
1908654,DOM,REPRESENTS
1908776,JPN,REPRESENTS
1908788,JPN,REPRESENTS
1908796,JPN,REPRESENTS
1908800,JPN,REPRESENTS
1908801,JPN,REPRESENTS
1908804,JPN,REPRESENTS
1908808,DOM,REPRESENTS
1908861,CHN,REPRESENTS
1908862,CHN,REPRESENTS
1908863,CHN,REPRESENTS
1908864,CHN,REPRESENTS
1908865,CHN,REPRESENTS
1908866,CHN,REPRESENTS
1909191,KSA,REPRESENTS
1909799,ISR,REPRESENTS
1909813,ISR,REPRESENTS
1909827,HUN,REPRESENTS
1909847,ISR,REPRESENTS
1909857,ISR,REPRESENTS
1909866,ISR,REPRESENTS
1909923,EGY,REPRESENTS
1909939,TUN,REPRESENTS
1910378,CHN,REPRESENTS
1910380,CHN,REPRESENTS
1910382,CHN,REPRESENTS
1910489,ISR,REPRESENTS
1910511,ISR,REPRESENTS
1911256,ANG,REPRESENTS
1912238,ANG,REPRESENTS
1913681,CHN,REPRESENTS
1913682,CHN,REPRESENTS
1913683,CHN,REPRESENTS
1914566,DEN,REPRESENTS
1914822,DEN,REPRESENTS
1914903,DEN,REPRESENTS
1915796,CRO,REPRESENTS
1915797,CRO,REPRESENTS
1915807,CRO,REPRESENTS
1915986,FRA,REPRESENTS
1915987,FRA,REPRESENTS
1917115,MLI,REPRESENTS
1917164,MLI,REPRESENTS
1917720,USA,REPRESENTS
1917721,USA,REPRESENTS
1917722,USA,REPRESENTS
1917723,USA,REPRESENTS
1917725,USA,REPRESENTS
1917858,USA,REPRESENTS
1918016,USA,REPRESENTS
1918018,USA,REPRESENTS
1918019,USA,REPRESENTS
1918026,USA,REPRESENTS
1918543,JPN,REPRESENTS
1918556,JPN,REPRESENTS
1918560,JPN,REPRESENTS
1918568,JPN,REPRESENTS
1918571,JPN,REPRESENTS
1918572,JPN,REPRESENTS
1918766,NZL,REPRESENTS
1918882,CHN,REPRESENTS
1918883,CHN,REPRESENTS
1918884,CHN,REPRESENTS
1918885,CHN,REPRESENTS
1918886,CHN,REPRESENTS
1918887,CHN,REPRESENTS
1918889,CHN,REPRESENTS
1918890,CHN,REPRESENTS
1918891,CHN,REPRESENTS
1918893,CHN,REPRESENTS
1918894,CHN,REPRESENTS
1918895,CHN,REPRESENTS
1918896,CHN,REPRESENTS
1918907,CHN,REPRESENTS
1919322,JPN,REPRESENTS
1919328,JPN,REPRESENTS
1919335,JPN,REPRESENTS
1919338,JPN,REPRESENTS
1919341,JPN,REPRESENTS
1919343,JPN,REPRESENTS
1919511,TJK,REPRESENTS
1919719,AIN,REPRESENTS
1919734,ARM,REPRESENTS
1919736,AIN,REPRESENTS
1919740,ARM,REPRESENTS
1919741,AIN,REPRESENTS
1921141,ITA,REPRESENTS
1921142,ITA,REPRESENTS
1921143,ITA,REPRESENTS
1921148,ITA,REPRESENTS
1921149,ITA,REPRESENTS
1921150,ITA,REPRESENTS
1922666,BEL,REPRESENTS
1924891,URU,REPRESENTS
1924892,URU,REPRESENTS
1924915,LTU,REPRESENTS
1925565,ITA,REPRESENTS
1925566,ITA,REPRESENTS
1925568,ITA,REPRESENTS
1925590,ITA,REPRESENTS
1925602,ITA,REPRESENTS
1925620,ITA,REPRESENTS
1925740,CZE,REPRESENTS
1925948,VEN,REPRESENTS
1926042,NGR,REPRESENTS
1926057,PUR,REPRESENTS
1926527,NZL,REPRESENTS
1926529,NZL,REPRESENTS
1926530,NZL,REPRESENTS
1926532,NZL,REPRESENTS
1926601,NZL,REPRESENTS
1926602,NZL,REPRESENTS
1926603,NZL,REPRESENTS
1926604,NZL,REPRESENTS
1926605,NZL,REPRESENTS
1926606,NZL,REPRESENTS
1926607,NZL,REPRESENTS
1926612,NZL,REPRESENTS
1927174,CHN,REPRESENTS
1927222,CHN,REPRESENTS
1927223,CHN,REPRESENTS
1927270,CHN,REPRESENTS
1927271,CHN,REPRESENTS
1927274,CHN,REPRESENTS
1927534,CHN,REPRESENTS
1927535,CHN,REPRESENTS
1927537,CHN,REPRESENTS
1927542,CHN,REPRESENTS
1927873,KOR,REPRESENTS
1927879,KOR,REPRESENTS
1927880,KOR,REPRESENTS
1927972,HKG,REPRESENTS
1928060,CRO,REPRESENTS
1928061,CRO,REPRESENTS
1928154,ZAM,REPRESENTS
1928466,POL,REPRESENTS
1928467,POL,REPRESENTS
1928468,POL,REPRESENTS
